1507329,1835015,1966354,2032412,2033695,1838618,1578511,1318662,2033930,2035477,1971998,1843231,1518102,1192715,866819,605696,1977369,1717279,1456925,1130004,802568,474370,276480,143360,1392415,1063963,734993,470791,205825,72448,4864,3072,598808,334349,201220,68352,1280,512,0,4,132362,66050,0,0,0,1,6,272,1,0,0,256,770,67337,199955,332829,1024,2048,3584,70915,204556,469015,733471,997406
1835015,1966354,2032412,2033695,1838618,1578511,1318662,993281,2035477,1971998,1843231,1518102,1192715,866819,605696,343808,1717279,1456925,1130004,802568,474370,276480,143360,9984,1063963,734993,470791,205825,72448,4864,3072,1538,334349,201220,68352,1280,512,0,4,12,66050,0,0,0,1,6,272,131610,0,0,256,770,67337,199955,332829,597279,2048,3584,70915,204556,469015,733471,997406,1326614
1966354,2032412,2033695,1838618,1578511,1318662,993281,667648,1971998,1843231,1518102,1192715,866819,605696,343808,146944,1456925,1130004,802568,474370,276480,143360,9984,7681,734993,470791,205825,72448,4864,3072,1538,777,201220,68352,1280,512,0,4,12,23,0,0,0,1,6,272,131610,263711,0,256,770,67337,199955,332829,597279,927257,3584,70915,204556,469015,733471,997406,1326614,1654539
2032412,2033695,1838618,1578511,1318662,993281,667648,407552,1843231,1518102,1192715,866819,605696,343808,146944,80128,1130004,802568,474370,276480,143360,9984,7681,5382,470791,205825,72448,4864,3072,1538,777,275,68352,1280,512,0,4,12,23,65567,0,0,1,6,272,131610,263711,527132,256,770,67337,199955,332829,597279,927257,1257231,70915,204556,469015,733471,997406,1326614,1654539,1916419
2033695,1838618,1578511,1318662,993281,667648,407552,212224,1518102,1192715,866819,605696,343808,146944,80128,13060,802568,474370,276480,143360,9984,7681,5382,3600,205825,72448,4864,3072,1538,777,275,29,1280,512,0,4,12,23,65567,196638,0,1,6,272,131610,263711,527132,791058,770,67337,199955,332829,597279,927257,1257231,1521413,204556,469015,733471,997406,1326614,1654539,1916419,2046720
1838618,1578511,1318662,993281,667648,407552,212224,81666,1192715,866819,605696,343808,146944,80128,13060,10764,474370,276480,143360,9984,7681,5382,3600,2074,72448,4864,3072,1538,777,275,29,65567,512,0,4,12,23,65567,196638,459286,1,6,272,131610,263711,527132,791058,1120776,67337,199955,332829,597279,927257,1257231,1521413,1850369,469015,733471,997406,1326614,1654539,1916419,2046720,2044928
1578511,1318662,993281,667648,407552,212224,81666,16137,866819,605696,343808,146944,80128,13060,10764,8471,276480,143360,9984,7681,5382,3600,2074,1055,4864,3072,1538,777,275,29,65567,196633,0,4,12,23,65567,196638,459286,722187,6,272,131610,263711,527132,791058,1120776,1450754,199955,332829,597279,927257,1257231,1521413,1850369,1982208,733471,997406,1326614,1654539,1916419,2046720,2044928,1977344
1318662,993281,667648,407552,212224,81666,16137,15123,605696,343808,146944,80128,13060,10764,8471,6175,143360,9984,7681,5382,3600,2074,1055,284,3072,1538,777,275,29,65567,196633,327695,4,12,23,65567,196638,459286,722187,985347,272,131610,263711,527132,791058,1120776,1450754,1715456,332829,597279,927257,1257231,1521413,1850369,1982208,2047744,997406,1326614,1654539,1916419,2046720,2044928,1977344,1843968
993281,667648,407552,212224,81666,16137,15123,13597,343808,146944,80128,13060,10764,8471,6175,4126,9984,7681,5382,3600,2074,1055,284,131090,1538,777,275,29,65567,196633,327695,589829,12,23,65567,196638,459286,722187,985347,1314816,131610,263711,527132,791058,1120776,1450754,1715456,1914112,597279,927257,1257231,1521413,1850369,1982208,2047744,2046976,1326614,1654539,1916419,2046720,2044928,1977344,1843968,1579524
667648,407552,212224,81666,16137,15123,13597,11551,146944,80128,13060,10764,8471,6175,4126,2326,7681,5382,3600,2074,1055,284,131090,262152,777,275,29,65567,196633,327695,589829,917761,23,65567,196638,459286,722187,985347,1314816,1644544,263711,527132,791058,1120776,1450754,1715456,1914112,2046720,927257,1257231,1521413,1850369,1982208,2047744,2046976,1914370,1654539,1916419,2046720,2044928,1977344,1843968,1579524,1249548
407552,212224,81666,16137,15123,13597,11551,8985,80128,13060,10764,8471,6175,4126,2326,66827,5382,3600,2074,1055,284,131090,262152,524290,275,29,65567,196633,327695,589829,917761,1246208,65567,196638,459286,722187,985347,1314816,1644544,1908992,527132,791058,1120776,1450754,1715456,1914112,2046720,2047745,1257231,1521413,1850369,1982208,2047744,2046976,1914370,1650185,1916419,2046720,2044928,1977344,1843968,1579524,1249548,920087
212224,81666,16137,15123,13597,11551,8985,6671,13060,10764,8471,6175,4126,2326,66827,197123,3600,2074,1055,284,131090,262152,524290,786432,29,65567,196633,327695,589829,917761,1246208,1509376,196638,459286,722187,985347,1314816,1644544,1908992,2042368,791058,1120776,1450754,1715456,1914112,2046720,2047745,1982214,1521413,1850369,1982208,2047744,2046976,1914370,1650185,1320212,2046720,2044928,1977344,1843968,1579524,1249548,920087,591391
81666,16137,15123,13597,11551,8985,6671,70149,10764,8471,6175,4126,2326,66827,197123,458752,2074,1055,284,131090,262152,524290,786432,1114112,65567,196633,327695,589829,917761,1246208,1509376,1838592,459286,722187,985347,1314816,1644544,1908992,2042368,2044676,1120776,1450754,1715456,1914112,2046720,2047745,1982214,1719568,1850369,1982208,2047744,2046976,1914370,1650185,1320212,990237,2044928,1977344,1843968,1579524,1249548,920087,591391,328222
16137,15123,13597,11551,8985,6671,70149,199425,8471,6175,4126,2326,66827,197123,458752,720896,1055,284,131090,262152,524290,786432,1114112,1442048,196633,327695,589829,917761,1246208,1509376,1838592,1971458,722187,985347,1314816,1644544,1908992,2042368,2044676,1980684,1450754,1715456,1914112,2046720,2047745,1982214,1719568,1456154,1982208,2047744,2046976,1914370,1650185,1320212,990237,725791,1977344,1843968,1579524,1249548,920087,591391,328222,196630
15123,13597,11551,8985,6671,70149,199425,329216,6175,4126,2326,66827,197123,458752,720896,983040,284,131090,262152,524290,786432,1114112,1442048,1704705,327695,589829,917761,1246208,1509376,1838592,1971458,2039305,985347,1314816,1644544,1908992,2042368,2044676,1980684,1850903,1715456,1914112,2046720,2047745,1982214,1719568,1456154,1126431,2047744,2046976,1914370,1650185,1320212,990237,725791,461849,1843968,1579524,1249548,920087,591391,328222,196630,65547
13597,11551,8985,6671,70149,199425,329216,590336,4126,2326,66827,197123,458752,720896,983040,1310720,131090,262152,524290,786432,1114112,1442048,1704705,1902086,589829,917761,1246208,1509376,1838592,1971458,2039305,2041620,1314816,1644544,1908992,2042368,2044676,1980684,1850903,1589023,1914112,2046720,2047745,1982214,1719568,1456154,1126431,796700,2046976,1914370,1650185,1320212,990237,725791,461849,198414,1579524,1249548,920087,591391,328222,196630,65547,3
11551,8985,6671,70149,199425,329216,590336,917760,2326,66827,197123,458752,720896,983040,1310720,1638404,262152,524290,786432,1114112,1442048,1704705,1902086,2034704,917761,1246208,1509376,1838592,1971458,2039305,2041620,1912861,1644544,1908992,2042368,2044676,1980684,1850903,1589023,1261086,2046720,2047745,1982214,1719568,1456154,1126431,796700,532242,1914370,1650185,1320212,990237,725791,461849,198414,66309,1249548,920087,591391,328222,196630,65547,3,0
8985,6671,70149,199425,329216,590336,917760,1245186,66827,197123,458752,720896,983040,1310720,1638404,1900556,524290,786432,1114112,1442048,1704705,1902086,2034704,2036506,1246208,1509376,1838592,1971458,2039305,2041620,1912861,1652767,1908992,2042368,2044676,1980684,1850903,1589023,1261086,932374,2047745,1982214,1719568,1456154,1126431,796700,532242,267784,1650185,1320212,990237,725791,461849,198414,66309,257,920087,591391,328222,196630,65547,3,0,0
6671,70149,199425,329216,590336,917760,1245186,1507337,197123,458752,720896,983040,1310720,1638404,1900556,2032151,786432,1114112,1442048,1704705,1902086,2034704,2036506,1973023,1509376,1838592,1971458,2039305,2041620,1912861,1652767,1326361,2042368,2044676,1980684,1850903,1589023,1261086,932374,602891,1982214,1719568,1456154,1126431,796700,532242,267784,134658,1320212,990237,725791,461849,198414,66309,257,0,591391,328222,196630,65547,3,0,0,0
